# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "count.txt" "SRR13978643Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13978643Aligned.sortedByCoord.out.bam
snR84	IV	1492477	1493026	-	550	15
YDR034W-B	IV	521314	521469	+	156	9
YDL028C	IV	400997	403291	-	2295	90
YDR061W	IV	574164	575783	+	1620	125
YDR060W	IV	570649	573726	+	3078	265
YDR169C-A	IV	794574	794723	-	150	6
YDR363W	IV	1199183	1200553	+	1371	63
YDR422C	IV	1315326	1317773	-	2448	163
YDR119W	IV	688227	690533	+	2307	219
tR(ACG)D	IV	619969	620041	-	73	0
YDR097C	IV	640109	643837	-	3729	49
YDR042C	IV	540601	541203	-	603	10
YDL160C	IV	170410	171930	-	1521	705
YDR425W	IV	1320064	1321941	+	1878	101
snR13	IV	1402919	1403042	+	124	6
YDR228C	IV	921926	923806	-	1881	248
YDR319C	IV	1105003	1105827	-	825	99
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	960
YDR089W	IV	622112	624721	+	2610	182
tD(GUC)D	IV	568964	569035	+	72	1
YDR275W	IV	1012252	1012959	+	708	82
YDR043C	IV	542674	543369	-	696	354
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	717
YDR136C	IV	727711	728283	-	573	0
YDL066W	IV	334835	336121	+	1287	1145
YDR302W	IV	1067731	1068390	+	660	103
YDR239C	IV	941057	943420	-	2364	74
YDR539W	IV	1512094	1513605	+	1512	157
tK(CUU)D1	IV	1201750	1201822	+	73	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	680
YDR493W	IV	1436217	1436588	+	372	76
YDR101C	IV	655686	657467	-	1782	91
YDR182W-A	IV	829151	829354	+	204	3
YDR212W	IV	887232	888911	+	1680	290
YDR476C	IV	1410453	1411127	-	675	189
YDL131W	IV	227393	228715	+	1323	1651
YDR458C	IV	1380055	1382046	-	1992	72
YDR081C	IV	607304	610081	-	2778	284
YDL071C	IV	330666	331040	-	375	4
YDR113C	IV	680496	681617	-	1122	115
YDR168W	IV	790328	791848	+	1521	478
YDR520C	IV	1481085	1483403	-	2319	64
YDR307W	IV	1075865	1077853	+	1989	115
YDR265W	IV	998864	999877	+	1014	67
YDL076C	IV	320668	321552	-	885	166
YDL006W	IV	439909	440754	+	846	81
YDL086W	IV	301413	302234	+	822	102
YDR238C	IV	937895	940816	-	2922	439
YDR077W	IV	600793	601809	+	1017	10654
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	97
YDL023C	IV	411761	412081	-	321	2
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	702
YDR036C	IV	523211	524713	-	1503	177
YDR057W	IV	565927	567555	+	1629	149
YDR513W	IV	1471017	1471448	+	432	588
YDR487C	IV	1428354	1428980	-	627	569
YDR066C	IV	581908	582498	-	591	39
YDR352W	IV	1181801	1182754	+	954	122
YDR278C	IV	1017001	1017318	-	318	1
YDR079C-A	IV	603593	603811	-	219	24
YDR204W	IV	858137	859144	+	1008	215
YDL247W-A	IV	3762	3836	+	75	8
YDL024C	IV	408451	409857	-	1407	19
tA(AGC)D	IV	410379	410451	+	73	0
YDR109C	IV	673520	675667	-	2148	52
YDR466W	IV	1395121	1397817	+	2697	202
YDR427W	IV	1322205	1323386	+	1182	452
YDL044C	IV	373967	375289	-	1323	43
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	106
YDR193W	IV	844554	844952	+	399	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	77
YDR377W	IV	1228611	1228916	+	306	173
YDR219C	IV	905455	906852	-	1398	152
YDR416W	IV	1298432	1301011	+	2580	79
YDR365C	IV	1204497	1206383	-	1887	380
YDL233W	IV	36797	38173	+	1377	54
YDR287W	IV	1035995	1036873	+	879	110
YDR448W	IV	1356065	1357369	+	1305	48
YDR180W	IV	821295	825776	+	4482	78
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	0
tT(AGU)D	IV	434264	434336	-	73	1
YDR294C	IV	1050459	1052228	-	1770	434
YDR198C	IV	852533	853972	-	1440	55
YDL163W	IV	166956	167258	+	303	0
YDL119C	IV	246689	247612	-	924	55
YDR501W	IV	1451353	1452918	+	1566	34
YDL214C	IV	74446	76545	-	2100	8
YDR264C	IV	996029	998323	-	2295	229
YDR343C	IV	1159608	1161320	-	1713	255
YDR373W	IV	1222759	1223331	+	573	70
YDR354W	IV	1184747	1185889	+	1143	304
YDR246W	IV	954288	954947	+	660	198
YDR428C	IV	1323454	1324239	-	786	36
YDR157W	IV	769931	770332	+	402	1
YDR316W	IV	1093763	1095178	+	1416	63
YDL142C	IV	201719	202570	-	852	92
YDR253C	IV	963990	964565	-	576	120
YDL112W	IV	258915	263225	+	4311	123
YDR545W	IV	1526321	1531711	+	5391	0
YDL187C	IV	125509	125838	-	330	0
YDL138W	IV	213351	215642	+	2292	224
YDR528W	IV	1494586	1495857	+	1272	88
YDR284C	IV	1030550	1031419	-	870	327
YDR050C	IV	555726	556472	-	747	4452
YDL010W	IV	432330	433025	+	696	40
YDL065C	IV	336249	337277	-	1029	216
YDR349C	IV	1172386	1174176	-	1791	217
YDL098C	IV	284581	285165	-	585	19
YDL234C	IV	34237	36477	-	2241	243
YDR118W	IV	685882	687840	+	1959	21
YDR118W-A	IV	687768	687884	+	117	5
YDR159W	IV	771877	775782	+	3906	218
YDR111C	IV	678241	679764	-	1524	150
YDR128W	IV	709549	712995	+	3447	149
YDL034W	IV	391783	392127	+	345	4
YDR065W	IV	580687	581784	+	1098	20
YDL004W	IV	443029	443511	+	483	310
YDR024W	IV	491017	491502	+	486	4
YDL171C	IV	149203	155640	-	6438	482
YDR083W	IV	612073	613251	+	1179	139
YDR457W	IV	1369790	1379596	+	9807	406
YDR014W	IV	474046	475989	+	1944	33
YDR206W	IV	862054	864708	+	2655	177
YDR478W	IV	1414575	1415171	+	597	24
YDR169C	IV	792348	793889	-	1542	292
YDR115W	IV	682175	682492	+	318	33
YDL159W-A	IV	172182	172313	+	132	1
YDL232W	IV	38487	38597	+	111	336
YDL240C-A	IV	22471	22608	-	138	0
tE(CUC)D	IV	1017207	1017278	-	72	0
YDL152W	IV	182822	183187	+	366	0
YDR432W	IV	1328783	1330027	+	1245	1014
YDL022C-A	IV	409808	410056	-	249	0
YDL114W-A	IV	254935	255048	+	114	0
YDR410C	IV	1292372	1293091	-	720	97
YDR464C-A	IV	1392492	1392680	-	189	0
YDL072C	IV	329836	330447	-	612	1045
YDR053W	IV	560249	560644	+	396	0
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	265
YDR482C	IV	1420431	1420838	-	408	56
YDL070W	IV	331024	332940	+	1917	496
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	2840
YDL135C	IV	218680	219288	-	609	135
YDL077C	IV	316971	320120	-	3150	140
YDR354C-A	IV	1185139	1185282	-	144	0
YDL033C	IV	392659	393912	-	1254	54
YDL031W	IV	394217	397204	+	2988	129
YDR398W	IV	1267471	1269402	+	1932	115
YDR326C	IV	1120609	1124925	-	4317	201
YDL052C	IV	362672	363583	-	912	500
YDR536W	IV	1508005	1509714	+	1710	25
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	5
YDL116W	IV	251566	253746	+	2181	129
YDR028C	IV	497835	500879	-	3045	538
YDL007W	IV	438047	439360	+	1314	747
YDR236C	IV	935236	935892	-	657	152
YDR011W	IV	465919	470424	+	4506	534
YDR155C	IV	768512	769000	-	489	815
YDR414C	IV	1295598	1296686	-	1089	103
YDR026C	IV	492556	494268	-	1713	171
YDL073W	IV	326613	329567	+	2955	87
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	84
YDL145C	IV	194571	198176	-	3606	946
YDR203W	IV	857682	857999	+	318	0
YDL104C	IV	273653	274876	-	1224	30
YDL149W	IV	184925	187918	+	2994	128
YDR231C	IV	926293	926910	-	618	54
YDR045C	IV	547978	548310	-	333	22
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	925
YDR415C	IV	1297037	1298161	-	1125	85
YDR339C	IV	1149951	1150520	-	570	261
YDL213C	IV	77289	77966	-	678	184
YDR096W	IV	637139	639823	+	2685	285
YDL019C	IV	417663	421514	-	3852	576
YDL022W	IV	411825	413000	+	1176	1431
YDR413C	IV	1294836	1295411	-	576	3
YDR391C	IV	1257358	1258056	-	699	260
YDR091C	IV	626708	628534	-	1827	446
YDR240C	IV	943674	945152	-	1479	51
YDL244W	IV	16204	17226	+	1023	5
YDR179C	IV	818708	819196	-	489	7
YDL165W	IV	164290	164865	+	576	54
YDL140C	IV	205360	210561	-	5202	842
YDR120C	IV	691549	693261	-	1713	97
YDR003W	IV	454122	454754	+	633	153
YDR499W	IV	1447830	1450073	+	2244	63
YDR166C	IV	786306	789221	-	2916	177
YDL092W	IV	292781	293221	+	441	149
YDL041W	IV	378102	378455	+	354	0
YDL241W	IV	20635	21006	+	372	21
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	2495
YDR277C	IV	1014401	1015702	-	1302	318
YDR291W	IV	1039728	1042961	+	3234	78
YDR475C	IV	1407464	1410094	-	2631	303
YDR244W	IV	950563	952401	+	1839	90
YDR407C	IV	1284069	1287938	-	3870	200
YDR382W	IV	1239492	1239824	+	333	2028
YDR102C	IV	657648	657980	-	333	3
YDL188C	IV	123865	124998	-	1134	197
YDR405W	IV	1277646	1278437	+	792	236
YDR443C	IV	1345676	1349938	-	4263	136
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	111
YDR144C	IV	744311	746101	-	1791	121
YDL157C	IV	174232	174588	-	357	25
YDL058W	IV	345665	351037	+	5373	175
YDL096C	IV	286998	287324	-	327	0
YDL155W	IV	176773	178056	+	1284	118
YDR147W	IV	751631	753235	+	1605	101
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	850
YDL128W	IV	232652	233887	+	1236	521
YDR310C	IV	1081128	1084316	-	3189	192
YDL160C-A	IV	169366	169608	-	243	47
YDR127W	IV	704484	709250	+	4767	1306
YDR497C	IV	1443713	1445467	-	1755	2200
YDL162C	IV	167359	167715	-	357	0
tS(AGA)D3	IV	1305630	1305712	+	83	0
YDR201W	IV	856317	856814	+	498	11
YDR163W	IV	781423	781950	+	528	64
YDL146W	IV	192750	194225	+	1476	118
YDR363W-A	IV	1202128	1202397	+	270	162
YDL221W	IV	62011	62562	+	552	7
YDL089W	IV	296820	298274	+	1455	88
YDR385W	IV	1243230	1245758	+	2529	970
YDR331W	IV	1129588	1130823	+	1236	52
YDR196C	IV	850274	850999	-	726	106
YDR116C	IV	682724	683581	-	858	108
YDR001C	IV	450220	452475	-	2256	460
YDL230W	IV	42700	43707	+	1008	104
YDR160W	IV	776163	778721	+	2559	82
YDR123C	IV	698554	699468	-	915	79
YDR322W	IV	1110589	1111692	+	1104	86
YDR040C	IV	535192	538467	-	3276	36
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	1061
YDR046C	IV	548762	550576	-	1815	1297
YDL057W	IV	351434	352420	+	987	51
YDL248W	IV	1802	2953	+	1152	48
YDR008C	IV	462252	462602	-	351	8
YDR029W	IV	501100	501414	+	315	6
YDR485C	IV	1424820	1427207	-	2388	178
YDR408C	IV	1288215	1288859	-	645	228
YDR038C	IV	527422	530697	-	3276	67
YDL204W	IV	94605	95786	+	1182	583
YDR019C	IV	484163	485365	-	1203	685
YDR477W	IV	1412373	1414274	+	1902	296
YDR254W	IV	965113	966489	+	1377	117
YDR514C	IV	1471548	1472999	-	1452	37
YDR296W	IV	1055212	1055892	+	681	135
YDL216C	IV	68997	70319	-	1323	41
YDL100C	IV	282112	283176	-	1065	506
YDL068W	IV	333500	333829	+	330	4
YDL026W	IV	404749	405060	+	312	0
YDL124W	IV	240259	241197	+	939	4338
YDL227C	IV	46271	48031	-	1761	58
YDL111C	IV	263313	264110	-	798	149
YDR324C	IV	1114433	1116763	-	2331	101
YDL170W	IV	156318	157904	+	1587	284
YDR317W	IV	1102184	1103428	+	1245	54
YDR436W	IV	1334821	1336953	+	2133	176
YDR208W	IV	868224	870563	+	2340	290
YDR386W	IV	1246084	1247982	+	1899	40
YDR504C	IV	1456311	1456694	-	384	62
YDL220C	IV	62244	65018	-	2775	74
YDR396W	IV	1266295	1266795	+	501	11
YDR258C	IV	971808	974243	-	2436	321
YDR176W	IV	814452	816560	+	2109	223
YDL099W	IV	283419	284444	+	1026	410
YDR380W	IV	1234218	1236125	+	1908	125
YDL110C	IV	264512	264964	-	453	447
YDR148C	IV	753675	755066	-	1392	567
YDL201W	IV	99561	100421	+	861	96
YDL107W	IV	268921	269976	+	1056	37
YDR515W	IV	1473429	1474772	+	1344	44
YDR133C	IV	720962	721297	-	336	1916
YDR378C	IV	1229349	1229609	-	261	101
YDR473C	IV	1404445	1405854	-	1410	60
YDR403W	IV	1274602	1276212	+	1611	12
YDR268W	IV	1004004	1005143	+	1140	81
YDR409W	IV	1289406	1292120	+	2715	181
YDR173C	IV	810565	811632	-	1068	29
YDR187C	IV	836228	836746	-	519	0
YDR389W	IV	1252537	1254501	+	1965	243
YDR417C	IV	1301555	1301926	-	372	2
YDR165W	IV	784871	786205	+	1335	168
YDL113C	IV	256633	258555	-	1923	140
YDR426C	IV	1321629	1322006	-	378	1
YDR521W	IV	1483141	1483476	+	336	0
YDR086C	IV	616928	617170	-	243	275
YDL021W	IV	413953	414888	+	936	92
YDR023W	IV	489508	490896	+	1389	984
YDR394W	IV	1261681	1262967	+	1287	516
YDR320C-A	IV	1108280	1108498	-	219	128
YDR003W-A	IV	454782	454904	+	123	45
YDR183W	IV	829585	830277	+	693	28
YDR245W	IV	952800	953981	+	1182	149
YDR431W	IV	1328390	1328701	+	312	0
YDL154W	IV	178334	181039	+	2706	14
YDL184C	IV	130407	130484	-	78	1832
YDR153C	IV	766736	767971	-	1236	209
YDR014W-A	IV	477797	478285	+	489	8
YDR434W	IV	1331237	1332841	+	1605	106
YDL002C	IV	446967	447578	-	612	94
YDR225W	IV	915530	915928	+	399	665
YDR418W	IV	1301616	1302113	+	498	408
YDR224C	IV	914317	914712	-	396	921
YDR502C	IV	1453310	1454464	-	1155	1066
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	758
YDL039C	IV	381985	384081	-	2097	122
YDL225W	IV	52445	54100	+	1656	185
YDR259C	IV	974631	975782	-	1152	38
YDR495C	IV	1438115	1441150	-	3036	122
YDL151C	IV	183318	183899	-	582	1
YDR357C	IV	1189199	1189567	-	369	181
YDR370C	IV	1217782	1219110	-	1329	46
YDR298C	IV	1058176	1058814	-	639	433
YDR276C	IV	1013476	1013643	-	168	1656
YDL185C-A	IV	126608	126835	-	228	1
YDR545C-A	IV	1530863	1531342	-	480	0
tM(CAU)D	IV	1175829	1175901	+	73	0
YDL247W	IV	5985	7814	+	1830	3
YDR406W	IV	1279210	1283799	+	4590	113
YDR273W	IV	1010176	1011273	+	1098	43
YDR269C	IV	1005665	1005988	-	324	0
YDR453C	IV	1365072	1365662	-	591	335
YDR383C	IV	1239960	1240676	-	717	23
YDR375C	IV	1225166	1226536	-	1371	151
YDL161W	IV	167714	169078	+	1365	237
YDL051W	IV	363952	364779	+	828	67
YDR084C	IV	613405	614004	-	600	127
YDL056W	IV	352877	355378	+	2502	159
YDR344C	IV	1162006	1162449	-	444	5
YDR320C	IV	1106095	1108101	-	2007	187
YDR221W	IV	907330	909438	+	2109	198
tI(AAU)D	IV	668007	668080	-	74	0
YDL032W	IV	393690	394001	+	312	0
YDR456W	IV	1367485	1369386	+	1902	392
YDL036C	IV	387513	388901	-	1389	48
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	0
YDL217C	IV	67983	68606	-	624	44
snR63	IV	323217	323471	-	255	43
YDR334W	IV	1135932	1140476	+	4545	125
YDL049C	IV	365068	365874	-	807	30
YDL164C	IV	164987	167254	-	2268	73
YDR384C	IV	1241204	1242031	-	828	109
YDR149C	IV	755555	756262	-	708	0
YDR093W	IV	631282	636120	+	4839	162
YDR071C	IV	588827	589402	-	576	311
YDL143W	IV	199996	201582	+	1587	364
YDR032C	IV	504099	504695	-	597	431
tR(UCU)D	IV	568882	568953	+	72	0
YDR063W	IV	578663	579112	+	450	344
YDL166C	IV	163449	164042	-	594	37
YDR004W	IV	455201	456583	+	1383	83
YDR151C	IV	764178	765155	-	978	104
YDR037W	IV	525440	527215	+	1776	3824
YDL175C	IV	144484	145518	-	1035	56
YDR286C	IV	1035231	1035575	-	345	15
YDR172W	IV	808324	810381	+	2058	419
YDL174C	IV	145826	147589	-	1764	612
YDR080W	IV	604008	606986	+	2979	101
YDR503C	IV	1455042	1455866	-	825	32
YDR069C	IV	584939	587719	-	2781	95
YDR047W	IV	551860	552948	+	1089	235
YDR215C	IV	894089	894502	-	414	5
YDR267C	IV	1002510	1003502	-	993	60
YDR142C	IV	740473	741600	-	1128	108
YDL212W	IV	78426	79058	+	633	250
YDR249C	IV	958681	959802	-	1122	45
YDL209C	IV	86207	87226	-	1020	40
YDR044W	IV	546642	547628	+	987	1058
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	1
YDR311W	IV	1085065	1086993	+	1929	135
YDL159C-B	IV	173056	173232	-	177	0
YDR222W	IV	910054	911301	+	1248	113
YDR510C-A	IV	1469695	1469811	-	117	63
YDR401W	IV	1272223	1272786	+	564	0
YDR207C	IV	865012	867522	-	2511	154
YDL005C	IV	441014	442309	-	1296	201
YDR295C	IV	1052623	1054647	-	2025	129
YDR543C	IV	1524634	1524933	-	300	0
YDL208W	IV	87512	87982	+	471	661
YDR135C	IV	723004	727551	-	4548	288
YDL114W	IV	255604	256530	+	927	2
YDR247W	IV	956013	957398	+	1386	538
YDL197C	IV	104917	106494	-	1578	162
YDR229W	IV	924785	926146	+	1362	181
YDR095C	IV	636117	636527	-	411	0
YDR027C	IV	494649	497318	-	2670	162
YDL106C	IV	270222	271901	-	1680	132
YDR404C	IV	1276654	1277169	-	516	221
YDR256C	IV	968133	969680	-	1548	55
YDR518W	IV	1478608	1480161	+	1554	187
YDR055W	IV	563527	564861	+	1335	556
YDL087C	IV	300214	300999	-	786	32
YDR177W	IV	816878	817525	+	648	359
YDL014W	IV	427364	428347	+	984	888
YDR289C	IV	1038280	1039509	-	1230	57
YDL159W	IV	172481	174028	+	1548	43
YDR532C	IV	1499396	1500553	-	1158	41
YDR137W	IV	728259	730250	+	1992	200
YDL153C	IV	181186	183018	-	1833	102
YDR393W	IV	1259901	1261271	+	1371	85
YDR506C	IV	1459728	1461554	-	1827	85
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	26
YDL090C	IV	295034	296329	-	1296	135
YDR033W	IV	508147	509109	+	963	2550
YDR035W	IV	521816	522928	+	1113	1173
YDR332W	IV	1131001	1133070	+	2070	69
YDR510W	IV	1469400	1469705	+	306	505
YDL055C	IV	355674	356759	-	1086	2109
YDR480W	IV	1417399	1418370	+	972	107
YDL103C	IV	275148	276581	-	1434	113
YDL085C-A	IV	302464	302670	-	207	151
YDR350C	IV	1176120	1178174	-	2055	95
YDR342C	IV	1154216	1155928	-	1713	1087
YDR087C	IV	617470	618306	-	837	62
YDL236W	IV	32296	33234	+	939	125
YDR012W	IV	471853	472941	+	1089	2254
YDL121C	IV	245133	245582	-	450	30
YDR525W-A	IV	1490596	1490835	+	240	300
tG(GCC)D2	IV	992832	992902	+	71	9
YDL190C	IV	118707	121592	-	2886	306
YDL047W	IV	369771	370706	+	936	273
YDR099W	IV	653607	654428	+	822	1319
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	239
YDR164C	IV	782041	784215	-	2175	187
YDR058C	IV	567723	568703	-	981	62
YDL020C	IV	415113	416708	-	1596	214
YDL025C	IV	405344	407206	-	1863	292
YDR374C	IV	1223474	1224394	-	921	2
YDL207W	IV	88248	89864	+	1617	229
YDR270W	IV	1005675	1008689	+	3015	45
YDR152W	IV	765706	766503	+	798	266
YDL148C	IV	188154	190586	-	2433	131
tI(UAU)D	IV;IV	884361;884458	884397;884493	+;+	73	0
YDR379C-A	IV	1233278	1233517	-	240	131
YDR218C	IV	903781	905052	-	1272	4
YDL018C	IV	422833	423510	-	678	42
YDR507C	IV	1462358	1465786	-	3429	194
YDL003W	IV	444683	446383	+	1701	140
YDR524C-B	IV	1489598	1489798	-	201	4548
YDR371W	IV	1219413	1220948	+	1536	65
YDR359C	IV	1191936	1194884	-	2949	196
YDL180W	IV	135896	137539	+	1644	149
YDL133W	IV	222427	223740	+	1314	96
YDR335W	IV	1141168	1144842	+	3675	398
YDR351W	IV	1178666	1181260	+	2595	128
YDL150W	IV	183343	184611	+	1269	152
YDL177C	IV	141209	141721	-	513	46
YDR171W	IV	806621	807748	+	1128	1171
YDR364C	IV	1202843	1204210	-	1368	58
YDR309C	IV	1079048	1080199	-	1152	327
YDL239C	IV	26403	28775	-	2373	68
YDL228C	IV	45277	45918	-	642	37
YDL156W	IV	174918	176486	+	1569	16
YDL016C	IV	425570	425872	-	303	48
tX(XXX)D	IV	1150842	1150941	-	100	0
YDR524W-C	IV	1489403	1489492	+	90	233
YDL085W	IV	303211	304848	+	1638	22
YDR300C	IV	1061505	1062791	-	1287	93
YDL168W	IV	159604	160764	+	1161	121
YDR360W	IV	1194598	1195032	+	435	5
YDR195W	IV	848599	850200	+	1602	147
YDR321W	IV	1108702	1109847	+	1146	205
YDR237W	IV	936615	937493	+	879	145
YDL127W	IV	234927	235853	+	927	131
YDR107C	IV	669016	671034	-	2019	120
YDR472W	IV	1403322	1404173	+	852	174
YDL030W	IV	397537	399129	+	1593	66
YDR468C	IV	1398026	1398700	-	675	88
YDL084W	IV	305237	306577	+	1341	967
YDL203C	IV	96082	97953	-	1872	90
YDL025W-A	IV	405410	405514	+	105	0
YDR285W	IV	1032436	1035063	+	2628	42
YDL229W	IV	44065	45906	+	1842	1288
YDR329C	IV	1126270	1127595	-	1326	194
YDR034C	IV	509737	512109	-	2373	393
YDR009W	IV	463434	464996	+	1563	8
tS(AGA)D2	IV	980974	981055	-	82	1
YDR488C	IV	1429188	1430789	-	1602	32
YDR103W	IV	658350	661103	+	2754	178
YDR336W	IV	1145092	1146036	+	945	48
YDL101C	IV	280307	281848	-	1542	32
YDR162C	IV	780390	781100	-	711	69
YDR312W	IV	1087581	1088942	+	1362	56
YDL061C	IV	340628	340798	-	171	260
YDL040C	IV	378874	381438	-	2565	621
YDR145W	IV	746738	748357	+	1620	312
YDR124W	IV	700315	701289	+	975	65
YDL231C	IV	38867	42244	-	3378	232
YDR190C	IV	840604	841995	-	1392	318
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	143
YDR463W	IV	1386816	1388375	+	1560	237
YDR491C	IV	1434500	1434991	-	492	39
YDR449C	IV	1357580	1358902	-	1323	30
YDL035C	IV	389172	392057	-	2886	235
YDR074W	IV	593893	596583	+	2691	1543
YDR525W	IV	1489905	1490234	+	330	0
YDR257C	IV	969990	971474	-	1485	136
YDR402C	IV	1272234	1273703	-	1470	5
YDR450W	IV;IV	1359923;1360405	1359969;1360798	+;+	441	882
YDR376W	IV	1226822	1228303	+	1482	90
YDR161W	IV	779043	780206	+	1164	172
YDR090C	IV	625066	625998	-	933	103
YDR189W	IV	838392	840392	+	2001	421
YDR524C	IV	1487542	1488990	-	1449	133
YDL237W	IV	30657	31829	+	1173	201
YDR188W	IV	836421	838061	+	1641	270
YDL133C-A	IV	221724	221801	-	78	245
YDR531W	IV	1498232	1499335	+	1104	246
tG(GCC)D1	IV	83548	83618	+	71	0
YDR226W	IV	916486	917154	+	669	924
YDL054C	IV	359825	361285	-	1461	183
YDL205C	IV	92762	93745	-	984	294
YDR537C	IV	1510856	1511461	-	606	0
YDR496C	IV	1441433	1443403	-	1971	231
YDR313C	IV	1089219	1090079	-	861	90
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	102
tV(CAC)D	IV	1075472	1075544	-	73	3
YDR340W	IV	1150881	1151183	+	303	0
YDL147W	IV	190924	192261	+	1338	339
YDL081C	IV	309802	310122	-	321	1041
YDR283C	IV	1025070	1030049	-	4980	148
YDR261C	IV	977521	979209	-	1689	223
YDL211C	IV	79294	80412	-	1119	31
YDL074C	IV	324047	326149	-	2103	217
YDL091C	IV	293392	294759	-	1368	175
YDR346C	IV	1167214	1168659	-	1446	608
